ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[0, 6, 7, 19, 20, 24, 42, 49]",0.0,[],[],3,9,7,7,13,7,3,3,7,10,7,7,13,12,7,7,7,9,19,3,3,9,7,13,3,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,3,10,4,13,13,7,16,3
1,True,46,1,"[0, 1, 1, 1, 1, 1]",[],3,"[2, 14, 26, 39, 47]",0.0,[],[],23,9,3,5,13,7,23,26,7,15,7,7,18,17,3,7,7,9,20,7,7,9,7,13,7,19,3,5,5,13,5,10,5,25,15,20,5,23,10,3,13,10,7,10,13,13,13,3,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[3, 27, 28, 30, 32, 36, 44]",0.0,[],[],4,9,5,3,13,7,4,26,7,15,7,7,18,12,5,7,7,9,19,4,4,9,7,13,4,15,5,3,3,13,3,10,3,19,15,20,3,19,10,5,13,10,4,10,3,13,13,5,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[4, 13, 23, 25, 29, 35, 40, 45]",0.0,[],[],12,18,18,23,3,17,12,15,22,19,21,14,21,3,13,14,21,17,10,21,25,17,14,3,25,3,18,20,17,3,18,17,17,10,19,3,19,10,17,13,3,17,17,17,18,3,18,20,21,15
1,True,46,1,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",[],3,"[5, 8, 10, 11, 15, 16, 22]",0.0,[43],[42],23,7,7,7,13,3,23,26,3,15,3,3,18,17,7,3,3,7,20,7,7,7,3,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[6, 7, 19, 20, 24, 42, 49]",0.0,[],[],4,9,7,7,13,7,3,3,7,10,7,7,13,12,7,7,7,9,19,3,3,9,7,13,3,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,3,10,4,13,13,7,16,3
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[7, 19, 20, 24, 42, 49]",0.0,[],[],4,9,7,7,13,7,4,3,7,10,7,7,13,12,7,7,7,9,19,3,3,9,7,13,3,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,3,10,4,13,13,7,16,3
1,True,46,1,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",[],3,"[8, 10, 11, 15, 16, 22]",0.0,[],[],23,7,7,7,13,4,23,26,3,15,3,3,18,17,7,3,3,7,20,7,7,7,3,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[10, 11, 15, 16, 22]",0.0,[],[],23,7,7,7,13,4,23,26,4,15,3,3,18,17,7,3,3,7,20,7,7,7,3,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[11, 15, 16, 22]",0.0,[],[],23,7,7,7,13,4,23,26,4,15,4,3,18,17,7,3,3,7,20,7,7,7,3,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[13, 23, 25, 29, 35, 40, 45]",0.0,[],[],12,18,18,23,4,17,12,15,22,19,21,14,21,3,13,14,21,17,10,21,25,17,14,3,25,3,18,20,17,3,18,17,17,10,19,3,19,10,17,13,3,17,17,17,18,3,18,20,21,15
1,True,46,1,"[1, 0, 1, 1, 1, 1, 1]",[],3,"[14, 26, 39, 47]",0.0,[],[],23,9,4,5,13,7,23,26,7,15,7,7,18,17,3,7,7,9,20,7,7,9,7,13,7,19,3,5,5,13,5,10,5,25,15,20,5,23,10,3,13,10,7,10,13,13,13,3,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[19, 20, 24, 42, 49]",0.0,[],[],4,9,7,7,13,7,4,4,7,10,7,7,13,12,7,7,7,9,19,3,3,9,7,13,3,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,3,10,4,13,13,7,16,3
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[20, 24, 42, 49]",0.0,[],[],4,9,7,7,13,7,4,4,7,10,7,7,13,12,7,7,7,9,19,4,3,9,7,13,3,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,3,10,4,13,13,7,16,3
1,True,46,1,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[23, 25, 29, 35, 40, 45]",0.0,[],[],12,18,18,23,4,17,12,15,22,19,21,14,21,4,13,14,21,17,10,21,25,17,14,3,25,3,18,20,17,3,18,17,17,10,19,3,19,10,17,13,3,17,17,17,18,3,18,20,21,15
1,True,46,1,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[25, 29, 35, 40, 45]",0.0,[],[],12,18,18,23,4,17,12,15,22,19,21,14,21,4,13,14,21,17,10,21,25,17,14,4,25,3,18,20,17,3,18,17,17,10,19,3,19,10,17,13,3,17,17,17,18,3,18,20,21,15
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[27, 28, 30, 32, 36, 44]",0.0,[],[],4,9,5,4,13,7,4,26,7,15,7,7,18,12,5,7,7,9,19,4,4,9,7,13,4,15,5,3,3,13,3,10,3,19,15,20,3,19,10,5,13,10,4,10,3,13,13,5,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[28, 30, 32, 36, 44]",0.0,[],[],4,9,5,4,13,7,4,26,7,15,7,7,18,12,5,7,7,9,19,4,4,9,7,13,4,15,5,4,3,13,3,10,3,19,15,20,3,19,10,5,13,10,4,10,3,13,13,5,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[29, 35, 40, 45]",0.0,[],[],12,18,18,23,4,17,12,15,22,19,21,14,21,4,13,14,21,17,10,21,25,17,14,4,25,4,18,20,17,3,18,17,17,10,19,3,19,10,17,13,3,17,17,17,18,3,18,20,21,15
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[30, 32, 36, 44]",0.0,[],[],4,9,5,4,13,7,4,26,7,15,7,7,18,12,5,7,7,9,19,4,4,9,7,13,4,15,5,4,4,13,3,10,3,19,15,20,3,19,10,5,13,10,4,10,3,13,13,5,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[],3,"[31, 38, 41, 43]",0.0,[],[],19,14,15,23,10,25,19,34,41,19,21,12,21,19,10,12,21,14,18,21,25,14,12,10,25,24,18,39,14,10,18,3,14,8,19,24,19,8,3,10,10,3,17,3,17,10,18,39,21,34
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],4,"[0, 6, 19, 20, 24, 42, 44]",0.0,[],[],4,9,7,7,13,7,4,26,7,15,7,7,18,12,7,7,7,9,19,4,4,9,7,13,4,15,7,7,7,13,7,10,7,19,15,20,7,19,10,7,13,10,4,10,4,13,13,7,16,26
1,True,46,1,"[1, 0, 1, 1, 1, 1, 1, 1]",[],4,"[2, 14, 26, 39, 47]",0.0,[],[],23,9,4,5,13,7,23,26,7,15,7,7,18,17,4,7,7,9,20,7,7,9,7,13,7,19,4,5,5,13,5,10,5,25,15,20,5,23,10,4,13,10,7,10,13,13,13,4,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],4,"[3, 27, 28, 30, 32, 36]",0.0,[],[],23,9,5,4,13,7,23,26,7,15,7,7,18,17,5,7,7,9,20,7,7,9,7,13,7,19,5,4,4,13,4,10,4,25,15,20,4,23,10,5,13,10,7,10,13,13,13,5,16,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",[],4,"[4, 23, 25, 29, 40, 45]",0.0,[],[],15,18,18,23,4,19,15,34,41,19,21,14,21,19,13,14,21,17,12,21,25,17,14,4,25,4,18,39,17,4,18,17,17,10,19,24,19,10,17,13,4,17,17,17,18,4,18,39,21,34
1,True,46,1,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],4,"[5, 8, 10, 11, 15, 16, 22, 48]",0.0,[43],[42],23,7,7,7,13,4,23,26,4,15,4,4,18,17,7,4,4,7,20,7,7,7,4,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],4,"[6, 19, 20, 24, 42, 44]",0.0,[],[],5,9,7,7,13,7,4,26,7,15,7,7,18,12,7,7,7,9,19,4,4,9,7,13,4,15,7,7,7,13,7,10,7,19,15,20,7,19,10,7,13,10,4,10,4,13,13,7,16,26
